Índices,Valor Índices,Var Diária (%),Var Mês (%),Var Ano (%),Var 12 Meses (%),Var 24 Meses (%),Data Consulta
IRF-M 1,"17.113,038861","0,0477","0,5022","2,8191","10,2725","24,0517",14/03/2025
IRF-M 1+,"20.672,405751","-0,0037","1,7229","5,5704","2,4111","19,5142",14/03/2025
IRF-M,"19.100,919752","0,0148","1,2695","4,5113","4,9199","20,6952",14/03/2025
IMA-B 5,"9.831,323646","-0,0893","0,6014","3,1632","7,7090","18,2949",14/03/2025
IMA-B 5+,"10.890,779734","-0,1834","1,8485","2,7084","-5,1436","10,8089",14/03/2025
IMA-B,"9.946,054358","-0,1428","1,3064","2,9035","0,1583","13,8457",14/03/2025
IMA-S,"7.278,766607","0,0486","0,3976","2,5115","11,3867","25,6621",14/03/2025
IMA-GERAL ex-C,"8.474,715507","-0,0077","0,8141","3,0307","6,7319","21,3644",14/03/2025
IMA-GERAL,"8.608,578753","-0,0054","0,8145","3,0348","6,7677","21,2125",14/03/2025
IDkA Pré 3M,"6.406,255999","0,0548","0,4327","2,5034","10,9180",-,14/03/2025
IDkA Pré 1A,"7.234,160531","0,0223","0,7013","3,5380","7,9159",-,14/03/2025
IDkA Pré 2A,"8.231,444077","-0,0215","1,3509","5,4844","3,8389",-,14/03/2025
IDkA Pré 3A,"8.772,423110","-0,0297","2,0281","6,9338","0,6355",-,14/03/2025
IDkA Pré 5A,"9.107,045320","0,0064","3,0262","7,5427","-5,6272",-,14/03/2025
IDkA IPCA 2A,"9.206,367735","-0,1520","0,5976","3,2945","7,5054",-,14/03/2025
IDkA IPCA 3A,"9.547,881093","-0,3356","0,9537","3,8656","5,1133",-,14/03/2025
IDkA IPCA 5A,"9.481,699410","-0,4214","1,6118","3,9183","1,2397",-,14/03/2025
IDkA IPCA 10A,"9.328,466207","0,1842","2,6418","2,3082","-6,2745",-,14/03/2025
IDkA IPCA 15A,"9.983,241679","0,6725","2,8168","0,9506","-12,1143",-,14/03/2025
IDkA IPCA 20A,"11.076,744490","0,3956","2,5984","0,8804","-17,1437",-,14/03/2025
IDkA IPCA 30A,"13.992,113535","-2,1661","1,8319","5,1181","-26,0128",-,14/03/2025
