Índice,Data,Fechamento,Variação
Ibovespa,10/03/2025,124.519,"-0,41"
Ibovespa,11/03/2025,123.507,"-0,81"
Ibovespa,12/03/2025,123.866,"0,29"
Ibovespa,13/03/2025,125.637,"1,43"
Ibovespa,14/03/2025,128.957,"2,64"
SMLL,10/03/2025,1.837,"-0,65"
SMLL,11/03/2025,1.823,"-0,78"
SMLL,12/03/2025,1.830,"0,40"
SMLL,13/03/2025,1.844,"0,79"
SMLL,14/03/2025,1.902,"3,13"
IBRX50,10/03/2025,21.044,"-0,38"
IBRX50,11/03/2025,20.867,"-0,84"
IBRX50,12/03/2025,20.935,"0,32"
IBRX50,13/03/2025,21.233,"1,42"
IBRX50,14/03/2025,21.798,"2,66"
ICON,10/03/2025,2.439,"-0,24"
ICON,11/03/2025,2.414,"-1,01"
ICON,12/03/2025,2.464,"2,07"
ICON,13/03/2025,2.472,"0,33"
ICON,14/03/2025,2.511,"1,59"
VALE,10/03/2025,"53,99","-1,62"
VALE,11/03/2025,"54,44","0,83"
VALE,12/03/2025,"53,76","-1,25"
VALE,13/03/2025,"54,50","1,38"
VALE,14/03/2025,"56,29","3,28"
PETR4,10/03/2025,"34,62","-0,03"
PETR4,11/03/2025,"34,10","-1,50"
PETR4,12/03/2025,"34,10","0,00"
PETR4,13/03/2025,"34,44","1,00"
PETR4,14/03/2025,"35,50","3,08"
BDRX,10/03/2025,20.643,"-2,67"
BDRX,11/03/2025,20.516,"-0,62"
BDRX,12/03/2025,20.685,"0,82"
BDRX,13/03/2025,20.308,"-1,82"
BDRX,14/03/2025,20.527,"1,08"
